id,symbol,full_name
1685599799167254642,ELA,Elastos
1685599799167254644,NVIR,NvirWorld
1685599799167254647,QUICK,Quickswap
1685599799167254652,BAR,FC Barcelona Fan Token
1685599799167254653,DOME,Everdome
1685599799167254654,THALES,Thales
1685599799167254655,KLV,Klever
1685599799167254657,AURORA,Aurora
1685599799167254658,TROY,TROY
1685599799167254659,HERO,Metahero
1685599799167254661,QTCON,Quiztok
1685599799167254662,REI,REI Network
1685599799167254663,QI,BENQI
1685599799167254664,GFI,Goldfinch
1685599799167254666,FLUID,Fluid
1685599799167254668,VAI,Vaiot
1685599799167254671,DNT,district0x
1685599799167254675,VNO,Veno Finance
1685599799167254676,SD,Stader
1685599799167254677,ALPINE,Alpine F1 Team Fan Token
1685599799167254678,CITY,Manchester City Fan Token
1685599799167254680,UFO,UFO Gaming
1685599799167254681,COS,Contentos
1685599799167254682,BLZ,Bluzelle
1685599799167254683,CLV,Clover Finance
1685599799167254684,ALPACA,Alpaca Finance
1685599799167254686,SAITO,Saito
1685599799167254687,KAI,KardiaChain
1685599799167254690,GOG,Guild of Guardians
1685599799167254693,UNFI,Unifi Protocol DAO
1685599799167254696,TALK,Talken
1685599799167254699,NULS,Nuls
1685599799167254701,HELLO,HELLO
1685599799167254702,PRO,Propy
1685599799167254704,MXC,MXC
1685599799167254706,KISHU,Kishu Inu
1685599799167254707,ORCA,Orca
1685599799167254709,PSP,ParaSwap
1685599799167254711,ADX,Ambire AdEx
1685599799167254712,AST,AirSwap
1685599799167254714,MNGO,Mango
1685599799167254716,GMM,Gamium
1685599799167254719,OPUL,Opulous
1685599799167254722,CAPS,Ternoa
1685599799167254727,DATA,Streamr
1685599799167254728,ATLAS,Star Atlas
1685599799167254729,CHESS,Tranchess
1685599799167254730,VELO,Velo
1685599799167254735,CRU,Crust Network
1685599799167254739,TKO,Tokocrypto
1685599799167254743,POLIS,Star Atlas DAO
1685599799167254746,PSG,Paris Saint-Germain Fan Token
1685599799167254749,DF,dForce
1685599799167254752,LEVER,LeverFi
1685599799167254753,WING,Wing Finance
1685599799167254754,BZZ,Swarm
1685599799167254755,HOPR,HOPR
1685599799167254756,AIDOGE,ArbDoge AI
1685599799167254761,XPR,Proton
1685599799167254767,LAZIO,Lazio Fan Token
1685599799167254769,HARD,Kava Lend
1685599799167254772,FARM,Harvest Finance
1685599799167254774,AE,Aeternity
1685599799167254776,VELO,Velodrome Finance
1685599799167254777,PNK,Kleros
1685599799167254782,VOXEL,Voxies
1685599799167254784,OM,MANTRA
1685599799167254786,HAI,Hacken
1685599799167254788,NCT,PolySwarm
1685599799167254792,SDN,Shiden Network
1685599799167254794,MCADE,Metacade
1685599799167254800,TDROP,ThetaDrop
1685599799167254803,SANTOS,Santos FC Fan Token
1685599799167254804,FIS,Stafi
1685599799167254809,GRV,GroveCoin
1685599799167254810,BOSON,Boson Protocol
1685599799167254812,LBR,Lybra Finance
1685599799167254814,PIP,PIP
1685599799167254815,KOIN,Koinos
1685599799167254817,OG,OG Fan Token
1685599799167254818,FIO,FIO Protocol
1685599799167254819,VOLT,Volt Inu
1685599799167254820,CEUR,Celo Euro
1685599799167254824,HYDRA,Hydra
1685599799167254827,SAMO,Samoyedcoin
1685599799167254829,BONK,Bonk
1685599799167254831,TENET,TENET
1685599799167254832,DC,Dogechain
1685599799167254834,COVAL,Circuits of Value
1685599799167254836,SHDW,Shadow Token
1685599799167254839,ALEPH,Aleph.im
1685599799167254840,XEN,XEN Crypto
1685599799167254846,PTS,Petals
1685599799167254853,ASTO,Altered State Machine
1685599799167254854,GFT,Gifto
1685599799167254855,OVR,Ovr
1685599799167254862,STOS,Stratos
1685599799167254863,CERE,Cere Network
1685599799167254866,AIOZ,AIOZ Network
1685599799167254873,NUM,NUM Token
1685599799167254874,HEGIC,Hegic
1685599799167254875,FIDA,Bonfida
1685599799167254876,GRAIL,Camelot Token
1685599799167254880,RIDE,holoride
1685599799167254883,CULT,Cult DAO
1685599799167254884,FUSE,Fuse
1685599799167254886,RARI,Rarible
1685599799167254887,SLND,Solend
1685599799167254889,ACX,Across Protocol
1685599799167254890,ACM,AC Milan Fan Token
1685599799167254893,APX,ApolloX
1685599799167254897,AFC,Arsenal Fan Token
1685599799167254898,SOUL,Phantasma
1685599799167254901,HTR,Hathor
1685599799167254902,GQ,Galactic Quadrant
1685599799167254906,TIME,chrono.tech
1685599799167254907,MATH,MATH
1685599799167254909,BURGER,BurgerCities
1685599799167254911,SOV,Sovryn
1685599799167254915,DMTR,Dimitra
1685599799167254916,XETA,XANA
1685599799167254917,ISK,ISKRA Token
1685599799167254920,MNDE,Marinade
1685599799167254921,MDAO,MarsDAO
1685599799167254922,UNDEAD,Undead Blocks
1685599799167254924,ORAI,Oraichain
1685599799167254931,POOLX,Poolz Finance
1685599799167254932,CRTS,Cratos
1685599799167254939,CHO,Choise.com
1685599799167254940,BUY,Buying.com
1685599799167254942,OCT,Octopus Network
1685599799167254943,SWFTC,SWFTCOIN
1685599799167254950,FOR,ForTube
1685599799167254951,SPS,Splintershards
1685599799167254960,LON,Tokenlon
1685599799167254962,SHI,Shirtum
1685599799167254963,COW,CoW Protocol
1685599799167254965,ALPH,Alephium
1685599799167254969,JUV,Juventus Fan Token
1685599799167254970,TAMA,Tamadoge
1685599799167254971,CHEQ,CHEQD Network
1685599799167254972,CREAM,Cream
1685599799167254973,NIM,Nimiq
1685599799167254978,AGI,Delysium
1685599799167254982,FOX,ShapeShift FOX
1685599799167254983,DIMO,DIMO
1685599799167254984,PSTAKE,pSTAKE Finance
1685599799167254990,UNCX,UNCX Network
1685599799167254991,TRAC,TRAC (Ordinals)
1685599799167254998,PUSH,Push Protocol
1685599799167255001,HNS,Handshake
1685599799167255003,INV,Inverse Finance
1685599799167255005,AVT,Aventus
1685599799167255009,PBX,Paribus
1685599799167255011,TOKE,Tokemak
1685599799167255014,ATM,Atletico Madrid Fan Token
1685599799167255015,CPOOL,Clearpool
1685599799167255016,SIS,Symbiosis
1685599799167255017,MIX,MixMarvel
1685599799167255021,OAX,OAX
1685599799167255024,CATE,CateCoin
1685599799167255031,KRL,KRYLL
1685599799167255032,PNT,pNetwork
1685599799167255035,VIB,Viberate
1685599799167255036,ABT,Arcblock
1685599799167255038,IMPT,IMPT
1685599799167255040,DEGO,Dego Finance
1685599799167255041,BSCPAD,BSCPAD
1685599799167255047,PROS,Prosper
1685599799167255048,WOJAK,Wojak
1685599799167255049,INDEX,Index Cooperative
1685599799167255058,SWASH,Swash
1685599799167255059,WXT,WXT Token
1685599799167255060,NWC,Newscrypto Coin
1685599799167255061,QSP,Quantstamp
1685599799167255062,LSS,Lossless
1685599799167255069,STARL,StarLink
1685599799167255070,APEX,ApeX
1685599799167255072,SPA,Sperax
1685599799167255073,ALD,Aladdin DAO
1685599799167255077,SIDUS,Sidus
1685599799167255078,TRA,Trabzonspor Fan Token
1685599799167255086,SUDO,sudoswap
1685599799167255087,TURBO,Turbo
1685599799167255089,BEPRO,BEPRO Network
1685599799167255093,MMPRO,Market Making Pro
1685599799167255095,TET,Tectum
1685599799167255098,GEAR,Gearbox
1685599799167255100,MAN,Matrix AI Network
1685599799167255102,FYN,Affyn
1685599799167255106,PDEX,Polkadex
1685599799167255109,RAI,Rai Reflex Index
1685599799167255119,INTER,Inter Milan Fan Token
1685599799167255126,AURA,Aura Network
1685599799167255128,VINU,Vita Inu
1685599799167255130,GRND,SuperWalk
1685599799167255131,KAR,Karura
1685599799167255140,GZONE,GameZone
1685599799167255142,MCRT,MagicCraft
1685599799167255146,XAVA,Avalaunch
